gen_log_trans_mats,recovered_trans_mats
[0.90030303 0.09969697 0.09969697 0.90030303],[0.90249611 0.09750389 0.09581513 0.90418487]
[0.90272727 0.09727273 0.09727273 0.90272727],[0.90465909 0.09534091 0.09273199 0.90726801]
[0.90515152 0.09484848 0.09484848 0.90515152],[0.90441445 0.09558555 0.09402432 0.90597568]
[0.90757576 0.09242424 0.09242424 0.90757576],[0.90979381 0.09020619 0.09197946 0.90802054]
[0.91 0.09 0.09 0.91],[0.91768248 0.08231752 0.08175497 0.91824503]
[0.91242424 0.08757576 0.08757576 0.91242424],[0.91429387 0.08570613 0.08468876 0.91531124]
[0.91484848 0.08515152 0.08515152 0.91484848],[0.91595808 0.08404192 0.08058194 0.91941806]
[0.91727273 0.08272727 0.08272727 0.91727273],[0.91795559 0.08204441 0.08138532 0.91861468]
[0.91969697 0.08030303 0.08030303 0.91969697],[0.92001594 0.07998406 0.07806939 0.92193061]
[0.92212121 0.07787879 0.07787879 0.92212121],[0.92378331 0.07621669 0.07264976 0.92735024]
[0.92454545 0.07545455 0.07545455 0.92454545],[0.92701039 0.07298961 0.07659526 0.92340474]
[0.9269697 0.0730303 0.0730303 0.9269697],[0.9275991  0.0724009  0.07064472 0.92935528]
[0.92939394 0.07060606 0.07060606 0.92939394],[0.92914935 0.07085065 0.07062224 0.92937776]
[0.93181818 0.06818182 0.06818182 0.93181818],[0.93296133 0.06703867 0.06799335 0.93200665]
[0.93424242 0.06575758 0.06575758 0.93424242],[0.93411116 0.06588884 0.06570062 0.93429938]
[0.93666667 0.06333333 0.06333333 0.93666667],[0.93902306 0.06097694 0.06152411 0.93847589]
[0.93909091 0.06090909 0.06090909 0.93909091],[0.94017891 0.05982109 0.0609919  0.9390081 ]
[0.94151515 0.05848485 0.05848485 0.94151515],[0.94467693 0.05532307 0.05425346 0.94574654]
[0.94393939 0.05606061 0.05606061 0.94393939],[0.94481602 0.05518398 0.0559911  0.9440089 ]
[0.94636364 0.05363636 0.05363636 0.94636364],[0.94527774 0.05472226 0.05239542 0.94760458]
[0.94878788 0.05121212 0.05121212 0.94878788],[0.94790459 0.05209541 0.05063346 0.94936654]
[0.95121212 0.04878788 0.04878788 0.95121212],[0.95045571 0.04954429 0.04942647 0.95057353]
[0.95363636 0.04636364 0.04636364 0.95363636],[0.95416379 0.04583621 0.04692621 0.95307379]
[0.95606061 0.04393939 0.04393939 0.95606061],[0.95724728 0.04275272 0.04174565 0.95825435]
[0.95848485 0.04151515 0.04151515 0.95848485],[0.95901977 0.04098023 0.04006655 0.95993345]
[0.96090909 0.03909091 0.03909091 0.96090909],[0.96070189 0.03929811 0.03825918 0.96174082]
[0.96333333 0.03666667 0.03666667 0.96333333],[0.96331499 0.03668501 0.0366581  0.9633419 ]
[0.96575758 0.03424242 0.03424242 0.96575758],[0.96625053 0.03374947 0.03461326 0.96538674]
[0.96818182 0.03181818 0.03181818 0.96818182],[0.9688521  0.0311479  0.03097074 0.96902926]
[0.97060606 0.02939394 0.02939394 0.97060606],[0.97106733 0.02893267 0.02882861 0.97117139]
[0.9730303 0.0269697 0.0269697 0.9730303],[0.97283159 0.02716841 0.02661048 0.97338952]
[0.97545455 0.02454545 0.02454545 0.97545455],[0.97610231 0.02389769 0.02342702 0.97657298]
[0.97787879 0.02212121 0.02212121 0.97787879],[0.97723128 0.02276872 0.02271625 0.97728375]
[0.98030303 0.01969697 0.01969697 0.98030303],[0.98002569 0.01997431 0.01912101 0.98087899]
[0.98272727 0.01727273 0.01727273 0.98272727],[0.98295305 0.01704695 0.01744832 0.98255168]
[0.98515152 0.01484848 0.01484848 0.98515152],[0.98458635 0.01541365 0.01503092 0.98496908]
[0.98757576 0.01242424 0.01242424 0.98757576],[0.98732752 0.01267248 0.01273484 0.98726516]
[0.99 0.01 0.01 0.99],[0.99023341 0.00976659 0.0096333  0.9903667 ]
