"Variable","Noise","beta_S","beta_P","mean","error"
"Error",0.5,4,1,0.1919,0.00393814548982004
"Error",0.5,4,1.5,0.1755,0.00380413224562636
"Error",0.5,4,2,0.1459,0.00353023586414926
"Error",0.5,4,2.5,0.13,0.00336320250848969
"Error",0.5,4,3,0.1132,0.00316852962081717
"Error",0.5,4,3.5,0.098,0.00297329514989764
"Error",0.5,4,4,0.0974,0.00296516495667982
"Error",0.5,4,4.5,0.0943,0.00292260246364709
"Error",0.5,4,5,0.094,0.00291843309417443
"Error",0.5,4,5.5,0.0977,0.00296923435169128
"Error",0.5,4,6,0.0936,0.00291285984476554
"Error",0.5,4,6.5,0.1233,0.00328797689760861
"Error",0.5,4,7,0.1614,0.00367917893500215
"Error",0.5,4,7.5,0.2236,0.00416677815632419
"Error",0.5,4,8,0.2261,0.00418325578501916
"Error",0.5,4,8.5,0.3239,0.00467985780840729
"Error",0.5,4,9,0.42,0.0049358318694648
"Error",0.5,4,9.5,0.438,0.00496165917876073
"Error",0.5,4,10,0.4321,0.00495392906098928
"Error",0.5,4.5,1,0.1833,0.00386931623944284
"Error",0.5,4.5,1.5,0.1694,0.00375123595327163
"Error",0.5,4.5,2,0.151,0.00358066783131469
"Error",0.5,4.5,2.5,0.1263,0.00332203771704346
"Error",0.5,4.5,3,0.1217,0.0032695534860283
"Error",0.5,4.5,3.5,0.1077,0.00310016646379034
"Error",0.5,4.5,4,0.0964,0.00295153776149243
"Error",0.5,4.5,4.5,0.0874,0.00282434447123031
"Error",0.5,4.5,5,0.0889,0.00284613580998955
"Error",0.5,4.5,5.5,0.0704,0.00255832728630455
"Error",0.5,4.5,6,0.0914,0.00288191508262377
"Error",0.5,4.5,6.5,0.1255,0.00331301563643469
"Error",0.5,4.5,7,0.1312,0.0033763583902776
"Error",0.5,4.5,7.5,0.136,0.0034280570528385
"Error",0.5,4.5,8,0.2115,0.00408392493127438
"Error",0.5,4.5,8.5,0.2411,0.00427772239525768
"Error",0.5,4.5,9,0.2552,0.00435995377494899
"Error",0.5,4.5,9.5,0.3092,0.00462186890415736
"Error",0.5,4.5,10,0.4433,0.00496799548086648
"Error",0.5,5,1,0.1833,0.00386931623944284
"Error",0.5,5,1.5,0.1653,0.00371469660902337
"Error",0.5,5,2,0.1409,0.00347935764085259
"Error",0.5,5,2.5,0.1324,0.00338942072001717
"Error",0.5,5,3,0.1217,0.0032695534860283
"Error",0.5,5,3.5,0.0982,0.00297599759008061
"Error",0.5,5,4,0.1021,0.00302794911575224
"Error",0.5,5,4.5,0.088,0.00283309065161424
"Error",0.5,5,5,0.1027,0.00303581827836614
"Error",0.5,5,5.5,0.0691,0.00253636793786541
"Error",0.5,5,6,0.0796,0.0027068647383405
"Error",0.5,5,6.5,0.0836,0.00276800834301826
"Error",0.5,5,7,0.0953,0.00293643546929377
"Error",0.5,5,7.5,0.1178,0.0032238727232218
"Error",0.5,5,8,0.1387,0.00345650484486486
"Error",0.5,5,8.5,0.161,0.00367549329003503
"Error",0.5,5,9,0.2046,0.00403429195165089
"Error",0.5,5,9.5,0.2435,0.00429215764642052
"Error",0.5,5,10,0.3065,0.0046106291100108
"Error",0.5,5.5,1,0.1855,0.00388722086439719
"Error",0.5,5.5,1.5,0.1601,0.00366717109150656
"Error",0.5,5.5,2,0.1503,0.00357383102941685
"Error",0.5,5.5,2.5,0.1248,0.00330508522716675
"Error",0.5,5.5,3,0.1126,0.00316119017338901
"Error",0.5,5.5,3.5,0.1063,0.00308236615250522
"Error",0.5,5.5,4,0.086,0.00280378068304421
"Error",0.5,5.5,4.5,0.0924,0.00289604259400145
"Error",0.5,5.5,5,0.074,0.00261783981720251
"Error",0.5,5.5,5.5,0.081,0.00272848757821003
"Error",0.5,5.5,6,0.0749,0.00263243080995435
"Error",0.5,5.5,6.5,0.0681,0.00251930023763916
"Error",0.5,5.5,7,0.0799,0.00271151880565548
"Error",0.5,5.5,7.5,0.0784,0.00268813441008084
"Error",0.5,5.5,8,0.1336,0.00340239057519307
"Error",0.5,5.5,8.5,0.1298,0.00336100068916435
"Error",0.5,5.5,9,0.1605,0.0036708749001094
"Error",0.5,5.5,9.5,0.1706,0.00376177871463883
"Error",0.5,5.5,10,0.2559,0.00436387709982009
"Error",0.5,6,1,0.1765,0.00381264063646999
"Error",0.5,6,1.5,0.1571,0.00363913222188104
