IFG,MT,ID
-0.0686758754795091,-0.281537842058118,1
-0.00482588145251641,0.01207002329804,2
-0.0963723065285158,-0.381199045416559,3
0.098632226446968,0.171264472928933,4
0.0221524924950191,0.0499991209515431,5
-0.194825247818518,-0.238430761963062,6
-0.10730207819448,-0.0578650241976056,7
-0.104716579047473,-0.105833783116522,8
-0.202143841668026,-0.143696277844059,9
-0.068880491906388,-0.297121584212599,10
0.0213180919356698,-0.174605055044264,11
-0.220339407851998,-0.288007109564099,12
-0.16201639299247,-0.0648223737758282,13
-0.0509004462149455,-0.120253614718727,14
-0.0349724956138446,-0.0523629650850863,15
0.0021583873515603,0.179980671478592,16
-0.083978926930147,-0.11056087884042,17
-0.052973138965092,-0.146225950347414,18
-0.133093244051008,-0.0761003758987335,19
-0.0224039276089161,-0.0594565379592524,20
