"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.01,3,9.5,0.6129,0.00487111196475479
"Error",0,0.01,3,10,0.5077,0.00499965705394537
"Error",0,0.01,3.5,1,0.1117,0.00315012751017051
"Error",0,0.01,3.5,1.5,0.0962,0.00294880069563107
"Error",0,0.01,3.5,2,0.081,0.00272848757821003
"Error",0,0.01,3.5,2.5,0.071,0.00256837685240418
"Error",0,0.01,3.5,3,0.0728,0.00259820920426106
"Error",0,0.01,3.5,3.5,0.0873,0.00282288289994231
"Error",0,0.01,3.5,4,0.0985,0.00298004413831517
"Error",0,0.01,3.5,4.5,0.1087,0.00311278009823919
"Error",0,0.01,3.5,5,0.1297,0.00335989879192651
"Error",0,0.01,3.5,5.5,0.2089,0.00406543131453199
"Error",0,0.01,3.5,6,0.2154,0.00411120106506842
"Error",0,0.01,3.5,6.5,0.3748,0.00484095439804471
"Error",0,0.01,3.5,7,0.3487,0.00476582650861642
"Error",0,0.01,3.5,7.5,0.45,0.00497518595104995
"Error",0,0.01,3.5,8,0.4144,0.00492642781019847
"Error",0,0.01,3.5,8.5,0.4739,0.00499343293108496
"Error",0,0.01,3.5,9,0.3905,0.00487886824330536
"Error",0,0.01,3.5,9.5,0.5099,0.00499926977365965
"Error",0,0.01,3.5,10,0.378,0.00484911862044429
"Error",0,0.01,4,1,0.1107,0.00313775963922595
"Error",0,0.01,4,1.5,0.0786,0.00269126890013415
"Error",0,0.01,4,2,0.0696,0.00254484412551384
"Error",0,0.01,4,2.5,0.0582,0.00234132957577916
"Error",0,0.01,4,3,0.0505,0.00218985263099016
"Error",0,0.01,4,3.5,0.0672,0.00250380568421162
"Error",0,0.01,4,4,0.0705,0.00256000593027366
"Error",0,0.01,4,4.5,0.0832,0.0027619809655183
"Error",0,0.01,4,5,0.1273,0.00333325397445287
"Error",0,0.01,4,5.5,0.1396,0.0034658888093134
"Error",0,0.01,4,6,0.1733,0.00378525346765331
"Error",0,0.01,4,6.5,0.255,0.00435883011139388
"Error",0,0.01,4,7,0.3271,0.00469177581263508
"Error",0,0.01,4,7.5,0.3548,0.00478476597113588
"Error",0,0.01,4,8,0.3833,0.00486214716431997
"Error",0,0.01,4,8.5,0.4875,0.00499868719639154
"Error",0,0.01,4,9,0.4525,0.00497763525032405
"Error",0,0.01,4,9.5,0.5346,0.00498826345306939
