Input_Param,Recovered_Param
5.0,2.9124611907543834
4.9393939393939394,
4.878787878787879,4.540796307741164
4.818181818181818,4.730750982299922
4.757575757575758,4.840645403280646
4.696969696969697,4.39668309835546
4.636363636363637,2.8329674281915307
4.575757575757576,2.8371685054841116
4.515151515151516,2.834088371401082
4.454545454545455,2.7543292283376646
4.393939393939394,4.268620467197583
4.333333333333333,4.041472414787582
4.2727272727272725,3.7558081384979594
4.212121212121212,3.943591565109171
4.151515151515151,2.7680419622038825
4.090909090909091,2.7530746455266617
4.03030303030303,
3.9696969696969697,3.9159728120842594
3.909090909090909,3.773672205268899
3.8484848484848486,3.5713175092399427
3.787878787878788,2.6970730064231825
3.7272727272727275,2.6773612608855095
3.6666666666666665,2.6494245026761667
3.606060606060606,3.4466657900196167
3.5454545454545454,3.5091769202541148
3.484848484848485,2.5679853629668035
3.4242424242424243,3.3820936449210097
3.3636363636363633,3.304614735274187
3.3030303030303028,3.3139039691807555
3.242424242424242,3.269816666432762
3.1818181818181817,3.1901433472326866
3.121212121212121,2.9206581551470783
3.0606060606060606,3.020020189902225
3.0,2.4814942915989424
2.9393939393939394,2.4788755467129886
2.878787878787879,2.9002101420230715
2.8181818181818183,2.7918950283650674
2.7575757575757573,2.4055602203362927
2.696969696969697,2.595523837987937
2.6363636363636362,2.375580852925267
2.5757575757575757,2.6130638334268346
2.515151515151515,2.6175849044868316
2.4545454545454546,2.2786578969181384
2.393939393939394,2.4326979215649156
2.333333333333333,2.294848477815095
2.2727272727272725,2.223080903933046
2.212121212121212,2.1435618265483316
2.1515151515151514,2.200683944506313
2.090909090909091,2.1001143689470485
2.0303030303030303,2.0950980179910372
1.9696969696969697,2.0746995171008837
1.9090909090909092,2.0487037157814054
1.8484848484848486,2.0150882013704967
1.7878787878787876,1.9910533245408821
1.727272727272727,1.7822261825984775
1.6666666666666665,1.6655930386965063
1.606060606060606,1.6817388521297234
1.5454545454545454,1.5482309932844507
1.4848484848484849,1.4920769516425623
1.4242424242424243,1.4565240330806484
1.3636363636363633,1.7570524225971693
1.3030303030303028,1.2807640412044916
1.2424242424242422,1.3011818276428546
1.1818181818181817,1.1528781316116168
1.121212121212121,1.1209453524530808
1.0606060606060606,1.0431515484978409
1.0,1.5643546263280577
0.9393939393939394,0.9690846668290236
0.8787878787878789,0.884805272569782
0.8181818181818183,0.8184332863378592
0.7575757575757578,0.7221011522719092
0.6969696969696972,0.7243064891355979
0.6363636363636367,0.6393281062414862
0.5757575757575752,0.6159100417685217
0.5151515151515147,0.5288181483956412
0.45454545454545414,0.4439571172665232
0.3939393939393936,0.4172825852324438
0.33333333333333304,0.3147602012126359
0.2727272727272725,0.26530087888850734
0.21212121212121193,0.21227587922420008
0.15151515151515138,0.1327130268512772
0.09090909090909083,0.05972543888664203
0.030303030303030276,0.0013540968822095773
-0.030303030303030276,-0.024482414325281563
-0.09090909090909083,-0.07939663150022887
-0.15151515151515138,-0.15271626529101467
-0.21212121212121193,-0.24758600517534485
-0.2727272727272725,-0.2575663612937588
-0.3333333333333339,-0.3179736524448934
-0.3939393939393945,-0.37241154871774806
-0.45454545454545503,-0.46641879834923766
-0.5151515151515156,0.8475742088963331
-0.5757575757575761,-0.5441136778365557
-0.6363636363636367,-0.6275944826007429
-0.6969696969696972,-0.722175321135614
-0.7575757575757578,-0.7558033484394564
-0.8181818181818183,-0.9092684388658597
-0.8787878787878789,-0.8617703316314679
-0.9393939393939394,-0.938787235525164
-1.0,-1.0603800866415223
