RT,block_id,session_id,part_index,ID
1.34117647058824,1,1,1,1
1.17058823529412,1,1,1,1
0.982352941176471,1,1,1,1
1.67058823529412,1,1,1,1
0.782352941176471,1,1,1,1
0.782352941176471,1,1,1,1
0.975541985145664,2,1,1,1
0.722841350439257,2,1,1,1
0.587675894666063,2,1,1,1
0.593552653612724,2,1,1,1
0.517154787306135,2,1,1,1
0.540661823092778,2,1,1,1
0.570045617826081,2,1,1,1
0.828623011479149,2,1,1,1
0.622936448346027,2,1,1,1
0.640566725186009,2,1,1,1
0.916774395679058,2,1,1,1
0.752225145172561,2,1,1,1
0.816869493585827,2,1,1,1
0.852130047265791,3,1,1,1
0.758101904119221,3,1,1,1
0.752225145172561,3,1,1,1
0.758101904119221,3,1,1,1
0.922651154625719,3,1,1,1
0.805115975692506,3,1,1,1
0.828623011479149,3,1,1,1
0.611182930452705,3,1,1,1
0.969665226199004,3,1,1,1
0.693457555705954,4,1,1,1
0.611182930452705,4,1,1,1
0.752225145172561,4,1,1,1
0.734594868332579,4,1,1,1
0.752225145172561,4,1,1,1
0.711087832545936,4,1,1,1
0.769855422012542,4,1,1,1
0.899144118839076,4,1,1,1
0.734594868332579,5,1,1,1
0.728718109385918,5,1,1,1
0.705211073599275,5,1,1,1
0.56416885887942,5,1,1,1
0.728718109385918,5,1,1,1
1.16947503038547,5,1,1,1
0.728718109385918,5,1,1,1
1.49257054422798,1,2,1,1
0.223297955435683,2,2,1,1
0.587626198514954,2,2,1,1
1.39855035246559,2,2,1,1
0.781542844024889,4,2,1,1
0.487729744767412,4,2,1,1
0.499482268737711,4,2,1,1
0.840305463876384,5,2,1,1
1.3045301607032,5,2,1,1
0.15710587981217,5,2,1,1
0.311441885212926,5,2,1,1
0.910820607698179,5,2,1,1
0.88731555975758,5,2,1,1
1.48083707765069,1,3,1,1
1.29867061174921,1,3,1,1
1.10475147062829,1,3,1,1
1.38681567589509,1,3,1,1
0.993101056043515,1,3,1,1
1.39269201350481,2,3,1,1
0.840316278190667,2,3,1,1
1.41032102633399,3,3,1,1
1.07536978257966,3,3,1,1
0.157127205942434,3,3,1,1
1.11062780823801,4,3,1,1
0.769800226873967,4,3,1,1
0.664026149898919,4,3,1,1
0.728665863605893,4,3,1,1
0.110116505064634,4,3,1,1
0.611139111411394,4,3,1,1
0.133621855503534,5,3,1,1
0.675778825118368,5,3,1,1
1.28691793652976,5,3,1,1
1.34705882352941,1,4,1,1
0.734708305199092,2,4,1,1
0.846383967589354,2,4,1,1
0.229228991222117,2,4,1,1
0.681809307224758,2,4,1,1
0.769974303848649,2,4,1,1
0.846383967589354,2,4,1,1
0.699442306549536,2,4,1,1
1.02859162727873,3,4,1,1
0.711197639432721,4,4,1,1
1.22843228629288,4,4,1,1
0.75234130452387,5,4,1,1
0.722952972315907,5,4,1,1
0.75234130452387,5,4,1,1
0.98744796218758,5,4,1,1
1.06385762592829,5,4,1,1
1.34010794868314,5,4,1,1
1.16377795543536,5,4,1,1
1.46941661039818,5,4,1,1
1.2930866171504,5,4,1,1
0.664176307899979,6,4,1,1
1.10500129101943,6,4,1,1
1.18141095476014,6,4,1,1
0.699442306549536,6,4,1,1
0.764096637407056,6,4,1,1
0.758218970965463,6,4,1,1
1.3753739473327,6,4,1,1
1.45178361107341,6,4,1,1
1.35774094800792,6,4,1,1
0.0399486076972972,6,4,1,1
0.840506301147761,6,4,1,1
1.27545361782562,6,4,1,1
1.25782061850085,6,4,1,1
1.36361861444952,6,4,1,1
0.958059629979616,6,4,1,1
0.799362636056612,10,4,1,1
0.799362636056612,10,4,1,1
0.576011311276088,10,4,1,1
0.681809307224758,10,4,1,1
0.711197639432721,10,4,1,1
0.564255978392903,10,4,1,1
0.552500645509717,10,4,1,1
0.693564640107943,10,4,1,1
0.652420975016794,10,4,1,1
1.16965562187695,10,4,1,1
0.769764582275434,1,5,1,1
1.16933703719703,1,5,1,1
0.734508189194116,1,5,1,1
0.928418351141363,1,5,1,1
0.180554736876138,1,5,1,1
1.27510621644099,1,5,1,1
0.857905564978728,2,5,1,1
0.552350158273975,2,5,1,1
0.746260320221222,3,5,1,1
0.88140982703294,3,5,1,1
0.258546882596329,3,5,1,1
0.693375730599246,3,5,1,1
0.323183603245411,3,5,1,1
0.611110813409505,3,5,1,1
0.611110813409505,4,5,1,1
0.716879992653458,4,5,1,1
0.687499665085693,4,5,1,1
0.92254228562781,4,5,1,1
0.593482616868846,4,5,1,1
0.763888516761881,4,5,1,1
0.758012451248328,4,5,1,1
0.611110813409505,4,5,1,1
0.493589503138446,4,5,1,1
0.675747534058587,4,5,1,1
0.675747534058587,4,5,1,1
0.039529164550868,5,5,1,1
0.44070491351647,6,5,1,1
0.546474092760423,6,5,1,1
0.646367206490822,9,5,1,1
0.646367206490822,9,5,1,1
0.628739009950164,9,5,1,1
0.534721961733317,9,5,1,1
0.458333110057129,9,5,1,1
0.534721961733317,9,5,1,1
0.517093765192658,9,5,1,1
0.493589503138446,9,5,1,1
0.593482616868846,9,5,1,1
0.264422948109882,10,5,1,1
0.634615075463717,10,5,1,1
0.569978354814634,10,5,1,1
0.646367206490822,10,5,1,1
0.44072972710228,1,1,2,6
1.35157116311366,1,1,2,6
1.23991963224775,1,1,2,6
0.104256206652299,1,1,2,6
0.893212246927287,1,1,2,6
0.0161102612318427,1,1,2,6
1.3927059376432,1,1,2,6
1.48672827942502,1,1,2,6
0.83444828331365,1,1,2,6
1.22816683952502,1,1,2,6
0.810942697868195,2,1,2,6
1.29280719950002,2,1,2,6
