Stimulus_ext,Bias_ext,PC_ext,Stimulus_int,Bias_int,PC_int,AA,AB,BA,BB
5.160683614422873,-0.04198087411918763,1.5180486941648195,1.3224181207513812,-0.0312785258549675,2.6116505358335855,-0.01154624347847156,-4.46716270179844,-4.733837395029471,-0.00883154886420223
7.33375601748499,-0.016798910060689974,2.8161062772000127,0.9735460401968887,-0.04421843912177495,1.6997130477957292,-0.017602003135188463,-4.048530660911215,-4.57775052539652,-0.010331173658720614
7.346675654211089,-0.01764555794481006,2.815067265600368,0.9603588199531802,-0.04383947389373016,1.6986221942683368,-0.017825881047405318,-4.036003586752812,-4.5691546813659905,-0.010420827907234056
5.153202036584288,-0.041677912865124185,1.5169581180747382,1.3226035086599668,-0.031379953303937926,2.611870707578905,-0.00881796384509453,-4.7353700342511855,-4.468777296416985,-0.011527508239653728
5.190695977275103,-0.043579625287074424,1.5170097289022735,1.323182562919043,-0.030808277005172652,2.610376451453443,-0.008910285522268052,-4.725000827578705,-4.462700704079,-0.011598178492218881
5.191663778661452,-0.044293677968101595,1.5049839900823085,1.3524560941416275,-0.03053722972340023,2.5995893404756467,-0.011312114943067544,-4.487531734363458,-4.730821216168984,-0.00885834511686327
5.203711903285265,-0.045109127688649414,1.508626702486555,1.3291857197043615,-0.028992102926442238,2.6063649640815933,-0.008959859573375395,-4.719477309559562,-4.46780670207784,-0.01153876703669456
5.206942249237768,-0.04509467485835889,1.5049438267394484,1.3490333995560295,-0.03011691538525923,2.5999415851511474,-0.008917884111887287,-4.724152196079887,-4.481618151487319,-0.011379591452811208
5.144395182318111,-0.04124002970866118,1.516623241797932,1.3217025905259085,-0.03167900379389928,2.6127676001192266,-0.008801758553838676,-4.737201393121556,-4.469484069038158,-0.011519316700967912
7.350374678500053,-0.016888846223438787,2.818978970095863,0.9782100030526801,-0.04405939467531777,1.7007385330867828,-0.010354336393124768,-4.57552257285733,-4.050049195112072,-0.01757505808791916
5.208116088509078,-0.045125455859309056,1.5056494110221577,1.3476899167068848,-0.029876712266311084,2.59990559125358,-0.008920111954385357,-4.723903522158396,-4.480751154636793,-0.011389518224092237
7.35433071874437,-0.016955826649182583,2.8194617436520386,0.9777267455827637,-0.04402410763837881,1.7007665005000554,-0.0103633537932186,-4.57465657126237,-4.049467440860325,-0.01758537588239666
5.240704311459602,-0.04665465964638288,1.5133705610085173,1.3294366326477334,-0.030015495766154334,2.6062348724092597,-0.009030420720342784,-4.711668133746848,-4.4597928779871605,-0.011632150257921192
5.2256732926313845,-0.044872890094466676,1.5103850194865265,1.33296697462832,-0.030299191840218138,2.6041754981095018,-0.008990678171347239,-4.716058968229542,-4.46664457233477,-0.011552262175333934
7.428978678505822,-0.019538202639990933,2.823378349098156,0.9685083089359631,-0.042673151434733776,1.7028499004184772,-0.010581508560095525,-4.553933365633613,-4.032945208875583,-0.0178809738656988
5.207995285075843,-0.04512065372963488,1.505423456607002,1.3462852340395375,-0.03009643972864515,2.6008818373963423,-0.011404774410602987,-4.479420170984153,-4.723081012579653,-0.008927484711143867
5.1518513828036605,-0.04154499084500919,1.5178509158173188,1.3192326220913604,-0.03139004378041999,2.613296762685558,-0.008823249058611295,-4.734773483597155,-4.466173207814841,-0.011557740382252778
5.156538949669308,-0.041763185641014146,1.5182008049648985,1.3226904520919338,-0.03134250550091856,2.611698080175481,-0.008820725295944907,-4.735058300010998,-4.467881927481453,-0.011537894034313776
5.186542489756606,-0.043374624085462055,1.516886800034501,1.3237938604100152,-0.030870149902720717,2.6103046904764757,-0.011584043726909235,-4.463913099194993,-4.72638284386237,-0.008897924957600932
5.166124359171135,-0.04237361062127136,1.517088477632273,1.3217811178914074,-0.031158193272389816,2.611694063767755,-0.008852522846298908,-4.731475789334774,-4.465969190506549,-0.011560112285198716
5.202179386727712,-0.044878423462671915,1.5041272995293127,1.3503309644386545,-0.030451800841827116,2.6001783538318954,-0.011353469331105667,-4.483903277608062,-4.7261675470213325,-0.00889984940993526
5.163809304449997,-0.04214670363218774,1.5178308964380731,1.3220334031723577,-0.031218535209348832,2.61171864502929,-0.00884345142031298,-4.732496513471831,-4.4661994066101585,-0.011557435830817673
7.317372332831663,-0.016632420104801007,2.813685435908861,0.9736159965219873,-0.04436104992621992,1.6993569074087502,-0.01757258833156439,-4.050188499938433,-4.5813335883194135,-0.010294031808973057
5.152664138629166,-0.04156700792267368,1.5182168002518224,1.3237058999480944,-0.031419158012458745,2.6114219211924325,-0.01151963423590192,-4.469456662449353,-4.7367318167176595,-0.00880591087817709
5.15570183484011,-0.041706778934865435,1.518498330021913,1.3221741751836125,-0.0313623922119718,2.611909860457093,-0.008819053923507,-4.735246965934395,-4.4675781362239695,-0.011541419986210999
5.183229926332048,-0.043277856642040625,1.5164316058847824,1.3275110761828999,-0.030952072864786767,2.6089197025417277,-0.008879051269510566,-4.728496807443742,-4.467273281828445,-0.011544959366865223
5.1357086692386344,-0.040759167131338085,1.5173912536457959,1.3229869751751298,-0.03171952124783742,2.61245061565199,-0.00877117909719662,-4.740666418961199,-4.471845984988957,-0.01149198439782043
5.214997855122054,-0.045587701161613765,1.5070486911930772,1.3353543393793534,-0.028680884822431727,2.601493357480604,-0.01148132678275644,-4.472768492219333,-4.718912368021838,-0.008964945564031403
5.201071810912403,-0.044862211414152114,1.503446231219023,1.3545502859769836,-0.030335648105289267,2.598292464147658,-0.008881624053490534,-4.728208375020584,-4.487921809541632,-0.011307678190895284
